City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Alice Springs,AU,71.15,clear sky,-23.7,133.8833,Desert Palms Alice Springs
6,Viet Tri,VN,91.35,overcast clouds,21.3019,105.4308,Trung Tâm Hội Nghị Tỉnh Phú Thọ
9,Kavaratti,IN,82.04,overcast clouds,10.5669,72.642,Green leaf
12,Hilo,US,83.28,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
21,Matara,LK,81.91,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
22,Kuah,MY,87.78,few clouds,6.3265,99.8432,Azio Hotel
25,Baiao,BR,76.35,scattered clouds,-2.7906,-49.6717,Município de Baião
27,Rikitea,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
28,Kununurra,AU,82.38,broken clouds,-15.7667,128.7333,Hotel Kununurra
29,Bethel,US,72.45,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
37,Bandarbeyla,SO,80.06,scattered clouds,9.4942,50.8122,JABIR HOTEL
38,Lorengau,PG,85.57,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
39,Port Blair,IN,82.44,light rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
42,Hobyo,SO,76.05,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
45,La Ronge,CA,73.62,scattered clouds,55.1001,-105.2842,Northland Motor Hotel
46,Atuona,PF,77.77,broken clouds,-9.8,-139.0333,Villa Enata
47,Port Hedland,AU,82.45,clear sky,-20.3167,118.5667,The Esplanade Hotel
52,Cockburn Town,TC,81.93,clear sky,21.4612,-71.1419,Osprey Beach Hotel
53,Banjarmasin,ID,75.34,overcast clouds,-3.3244,114.591,Swiss-Belhotel Borneo Banjarmasin
54,Nishihara,JP,89.65,overcast clouds,26.1842,127.7558,Minshuku Agaihama
58,Souillac,MU,70.18,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
60,Magaria,NE,78.91,overcast clouds,12.9983,8.9099,Chez Honorable Chapiou
63,Sitangkai,PH,81.55,overcast clouds,4.6628,119.3928,Ama House
66,San Diego De Los Banos,CU,74.93,scattered clouds,22.6467,-83.3697,Casa Nalúa - Nalúa Enea
67,Bambous Virieux,MU,70.05,scattered clouds,-20.3428,57.7575,Casa Tia Villa
68,Kerema,PG,82.27,broken clouds,-7.9631,145.7785,Frena Lodge
71,Kapaa,US,84.18,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
74,Panzhihua,CN,86.86,overcast clouds,26.5851,101.7128,Electric Power Hotel
78,Magadan,RU,74.53,overcast clouds,59.5667,150.8,Magadan hotel
80,Carnarvon,AU,71.06,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
81,Zalantun,CN,74.19,broken clouds,48.0,122.7167,GreenTree Alliance Hulunbeier Zhalantun Railway Station Hotel
82,Vaini,TO,80.76,scattered clouds,-21.2,-175.2,Keleti Beach Resort
85,Axim,GH,75.06,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
87,Mujiayingzi,CN,70.68,overcast clouds,42.1167,118.7833,Jinjiang Hotel
88,Itarema,BR,78.64,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
92,Butaritari,KI,80.78,moderate rain,3.0707,172.7902,Isles Sunset Lodge
98,Tanabe,JP,87.01,broken clouds,33.7333,135.3667,美吉屋旅館
99,Vega De Alatorre,MX,78.94,scattered clouds,20.0333,-96.6333,Hotel D Luxe
100,Lompoc,US,74.01,fog,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
103,Kahului,US,84.22,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
105,Maceio,BR,74.64,overcast clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
106,Labuhan,ID,85.77,light rain,-6.8844,112.2051,DoubleFAG
107,Safford,US,90.52,clear sky,32.834,-109.7076,SpringHill Suites by Marriott Thatcher
108,San Cristobal,VE,71.78,scattered clouds,7.7669,-72.225,Pirineos
113,Hithadhoo,MV,84.67,scattered clouds,-0.6,73.0833,Scoop Guest House
116,Georgetown,MY,89.53,haze,5.4112,100.3354,Cititel Penang
117,Campoverde,PE,78.49,heavy intensity rain,-8.4753,-74.8058,Hospedaje Coral's
120,Bengkulu,ID,84.78,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
121,Sedhiou,SN,76.95,overcast clouds,12.7081,-15.5569,Auberge Cheznous
123,Kalaleh,IR,82.0,clear sky,37.3807,55.4916,کلاله
124,Korla,CN,84.61,scattered clouds,41.7597,86.1469,Gulisitan Hotel
