City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Khor,47.8861,134.9464,69.28,85,99,1.19,RU,overcast clouds
1,Roald,62.5833,6.1333,54.16,93,100,11.5,NO,light rain
2,Zhuhai,22.2769,113.5678,96.85,74,40,14.97,CN,scattered clouds
3,Asau,46.4333,26.4,54.52,59,0,4.72,RO,clear sky
4,Punta Arenas,-53.15,-70.9167,30.31,86,75,6.91,CL,broken clouds
5,Alice Springs,-23.7,133.8833,71.15,9,1,3.44,AU,clear sky
6,Viet Tri,21.3019,105.4308,91.35,71,99,0.43,VN,overcast clouds
7,Luba,3.4568,8.5547,73.29,86,92,6.33,GQ,light rain
8,Puerto Ayora,-0.7393,-90.3518,68.56,93,29,3.0,EC,scattered clouds
9,Kavaratti,10.5669,72.642,82.04,79,87,18.19,IN,overcast clouds
10,Cape Town,-33.9258,18.4232,64.27,52,0,5.75,ZA,clear sky
11,Ushuaia,-54.8,-68.3,37.06,70,40,2.3,AR,scattered clouds
12,Hilo,19.7297,-155.09,83.28,94,100,5.99,US,moderate rain
13,Qaanaaq,77.484,-69.3632,50.18,68,15,3.44,GL,few clouds
14,Quatre Cocos,-20.2078,57.7625,69.91,63,26,15.03,MU,scattered clouds
15,Paamiut,61.994,-49.6678,41.56,83,94,10.42,GL,overcast clouds
16,Nikolskoye,59.7035,30.7861,53.8,82,68,4.72,RU,broken clouds
17,New Norfolk,-42.7826,147.0587,51.93,78,69,5.99,AU,light rain
18,Suntar,62.1444,117.6319,68.4,62,100,5.14,RU,overcast clouds
19,Atbasar,51.8,68.3333,69.82,69,82,15.84,KZ,broken clouds
20,Albany,42.6001,-73.9662,73.81,79,82,1.01,US,broken clouds
21,Matara,5.9485,80.5353,81.91,76,98,10.45,LK,overcast clouds
22,Kuah,6.3265,99.8432,87.78,74,20,3.44,MY,few clouds
23,Kaitangata,-46.2817,169.8464,49.3,68,100,3.53,NZ,overcast clouds
24,Torbay,47.6666,-52.7314,60.89,75,20,11.5,CA,few clouds
25,Baiao,-2.7906,-49.6717,76.35,74,48,3.36,BR,scattered clouds
26,Faya,18.3851,42.4509,62.71,35,32,4.92,SA,scattered clouds
27,Rikitea,-23.1203,-134.9692,73.42,72,100,14.16,PF,overcast clouds
28,Kununurra,-15.7667,128.7333,82.38,18,76,8.05,AU,broken clouds
29,Bethel,41.3712,-73.414,72.45,88,0,0.0,US,clear sky
30,Severo-Kurilsk,50.6789,156.125,56.05,90,95,1.01,RU,overcast clouds
31,Port Alfred,-33.5906,26.891,66.2,39,9,11.43,ZA,clear sky
32,Port Augusta,-32.5,137.7667,61.99,47,100,13.78,AU,overcast clouds
33,Jamestown,42.097,-79.2353,67.64,72,0,1.01,US,clear sky
34,Yellowknife,62.456,-114.3525,66.72,77,75,11.99,CA,broken clouds
35,Yerbogachen,61.2767,108.0108,70.81,43,35,3.22,RU,scattered clouds
36,Longyearbyen,78.2186,15.6401,51.64,71,0,2.3,SJ,clear sky
37,Bandarbeyla,9.4942,50.8122,80.06,58,27,27.78,SO,scattered clouds
38,Lorengau,-2.0226,147.2712,85.57,68,15,10.92,PG,few clouds
39,Port Blair,11.6667,92.75,82.44,83,75,5.75,IN,light rain
40,Fortuna,40.5982,-124.1573,61.99,81,22,5.99,US,few clouds
41,Mariental,-24.6333,17.9667,50.45,42,0,12.48,NA,clear sky
